date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:16:14	1895/1895	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Nov%202018%2012:16:12%20GMT	http://mwc.com.vn/robots.txt		(from )
19:16:14	57380/57380	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:12%20GMT	http://mwc.com.vn/	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/index.html	(from )
19:16:15	15148/15148	---M--	200	added ('OK')	image/png	etag:%22ba224d6d69d2d31:0%22	http://mwc.com.vn/Themes/images/favicon.png?v=38	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/images/favicon24cd.png	(from http://mwc.com.vn/)
19:16:15	6349/6349	---M--	200	added ('OK')	image/png	etag:%222fa49a89ea8ad31:0%22	https://mwc.com.vn/Themes/images/logo.png	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/images/logo.png	(from http://mwc.com.vn/)
19:16:15	161168/161168	---M-Z	200	added ('OK')	text/css	etag:%220bba289ea8ad31:0%22	http://mwc.com.vn/Themes/css/bootstrap.css	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/css/bootstrap.css	(from http://mwc.com.vn/)
19:16:16	3953/3953	---M-Z	200	added ('OK')	text/css	etag:%220bba289ea8ad31:0%22	http://mwc.com.vn/Themes/css/jquery.css	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/css/jquery.css	(from http://mwc.com.vn/)
19:16:16	35053/35053	---M-Z	200	added ('OK')	text/css	etag:%220bba289ea8ad31:0%22	http://mwc.com.vn/Themes/css/font-awesome.css	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/css/font-awesome.css	(from http://mwc.com.vn/)
19:16:17	14377/14377	---M-Z	200	added ('OK')	text/css	etag:%220ed7b5e46aed31:0%22	http://mwc.com.vn/Themes/css/plugins.css	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/css/plugins.css	(from http://mwc.com.vn/)
19:16:17	300607/300607	---M-Z	200	added ('OK')	text/css	etag:%2280553c51373d41:0%22	http://mwc.com.vn/Themes/css/style.css	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/css/style.css	(from http://mwc.com.vn/)
19:16:18	66326/66326	---M-Z	200	added ('OK')	text/css	etag:%2207e4661e28d41:0%22	http://mwc.com.vn/Themes/css/responsive.css	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/css/responsive.css	(from http://mwc.com.vn/)
19:16:18	150941/150941	---M-Z	200	added ('OK')	text/css	etag:%220e18ef63362d41:0%22	http://mwc.com.vn/Themes/css/custom_style.css	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/css/custom_style.css	(from http://mwc.com.vn/)
19:16:19	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%220bba289ea8ad31:0%22	http://mwc.com.vn/Themes/css/owl.css	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/css/owl.css	(from http://mwc.com.vn/)
19:16:19	936/936	---M--	200	added ('OK')	text/css	etag:%22af31c8aea8ad31:0%22	http://mwc.com.vn/Themes/css/owl_002.css	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/css/owl_002.css	(from http://mwc.com.vn/)
19:16:22	36868/36868	---M-Z	200	added ('OK')	application/javascript	etag:%2280f7d887ea8ad31:0%22	http://mwc.com.vn/Themes/js/bootstrap.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/js/bootstrap.js	(from http://mwc.com.vn/)
19:16:22	495/495	---M--	200	added ('OK')	application/javascript	etag:%2245ae7bb6285d31:0%22	http://mwc.com.vn/content/js/library/jquery.number.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/content/js/library/jquery.number.js	(from http://mwc.com.vn/)
19:16:22	31370/31370	---M-Z	200	added ('OK')	application/javascript	etag:%2280f7d887ea8ad31:0%22	http://mwc.com.vn/Themes/js/jquery_002.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/js/jquery_002.js	(from http://mwc.com.vn/)
19:16:22	84345/84345	---M-Z	200	added ('OK')	application/javascript	etag:%2280f7d887ea8ad31:0%22	http://mwc.com.vn/Themes/js/jquery-2.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/js/jquery-2.js	(from http://mwc.com.vn/)
19:16:23	22645/22645	---M-Z	200	added ('OK')	application/javascript	etag:%22806fecbb6285d31:0%22	http://mwc.com.vn/content/js/library/jquery.validate.min.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/content/js/library/jquery.validate.min.js	(from http://mwc.com.vn/)
19:16:24	15324/15324	---M-Z	200	added ('OK')	application/javascript	etag:%22806fecbb6285d31:0%22	http://mwc.com.vn/content/js/library/jquery.ui.widget.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/content/js/library/jquery.ui.widget.js	(from http://mwc.com.vn/)
19:16:24	846/846	---M--	200	added ('OK')	application/javascript	etag:%22edc8dbc6285d31:0%22	http://mwc.com.vn/Content/js/library/constant.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Content/js/library/constant.js	(from http://mwc.com.vn/)
19:16:24	46694/46694	---M-Z	200	added ('OK')	application/javascript	etag:%22034a87a771fd41:0%22	http://mwc.com.vn/content/js/library/knockout.validation.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/content/js/library/knockout.validation.js	(from http://mwc.com.vn/)
19:16:24	41326/41326	---M-Z	200	added ('OK')	application/javascript	etag:%22806fecbb6285d31:0%22	http://mwc.com.vn/content/js/library/knockout-latest.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/content/js/library/knockout-latest.js	(from http://mwc.com.vn/)
19:16:25	2423/2423	---M--	200	added ('OK')	application/javascript	etag:%224a763337a3d1d31:0%22	http://mwc.com.vn/content/js/library/global.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/content/js/library/global.js	(from http://mwc.com.vn/)
19:16:25	65442/65442	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:23%20GMT	http://mwc.com.vn/post/gioi-thieu-ve-mwc	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/post/gioi-thieu-ve-mwc.html	(from http://mwc.com.vn/)
19:16:26	66843/66843	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:23%20GMT	http://mwc.com.vn/post/chinh-sach-bao-hanh-tron-doi	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/post/chinh-sach-bao-hanh-tron-doi.html	(from http://mwc.com.vn/)
19:16:28	63946/63946	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:25%20GMT	http://mwc.com.vn/post/giao-hang-toan-quoc	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/post/giao-hang-toan-quoc.html	(from http://mwc.com.vn/)
19:16:30	87127/87127	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:27%20GMT	http://mwc.com.vn/store	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/store.html	(from http://mwc.com.vn/)
19:16:33	252159/252159	---M-Z	200	added ('OK')	application/javascript	etag:%2280f7d887ea8ad31:0%22	http://mwc.com.vn/Themes/js/plugins.js	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Themes/js/plugins.js	(from http://mwc.com.vn/)
19:16:33	65337/65337	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:29%20GMT	http://mwc.com.vn/post/huong-dan-chon-size	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/post/huong-dan-chon-size.html	(from http://mwc.com.vn/)
19:16:35	68939/68939	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:32%20GMT	http://mwc.com.vn/post/chinh-sach-doi-tra	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/post/chinh-sach-doi-tra.html	(from http://mwc.com.vn/)
19:16:36	66525/66525	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:33%20GMT	http://mwc.com.vn/post/chinh-sach-bao-mat-thong-tin	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/post/chinh-sach-bao-mat-thong-tin.html	(from http://mwc.com.vn/)
19:16:37	60872/60872	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:35%20GMT	http://mwc.com.vn/cart	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/cart.html	(from http://mwc.com.vn/)
19:16:41	204329/204329	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:37%20GMT	http://mwc.com.vn/collections/giay-nu	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/collections/giay-nu.html	(from http://mwc.com.vn/)
19:16:43	7550/7550	---M--	200	added ('OK')	image/png	etag:%22402e180bb29d41:0%22	http://mwc.com.vn/Resources/Category/2018/08/02/main-menut-icon-1-1fb5f7d8-af7e-4e50-809a-d3b1de092d53.png	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Resources/Category/2018/08/02/main-menut-icon-1-1fb5f7d8-af7e-4e50-809a-d3b1de092d53.png	(from http://mwc.com.vn/)
19:16:45	205945/205945	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2012:16:40%20GMT	http://mwc.com.vn/collections/giay-thoi-trang	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/collections/giay-thoi-trang.html	(from http://mwc.com.vn/)
